iter	RMSE
725	3.381894874
726	3.381774031
727	3.381571448
728	3.381417861
729	3.381316159
730	3.38120121
731	3.38100215
732	3.380890155
733	3.380747746
734	3.380621246
735	3.38033908
736	3.3801416
737	3.379974107
738	3.379861228
739	3.379671124
740	3.379473106
741	3.379290751
742	3.379106516
743	3.379031856
744	3.378896065
745	3.378720163
746	3.37856444
747	3.378391866
748	3.378223907
749	3.378052812
750	3.377932965
751	3.377816742
752	3.377605014
753	3.377551337
754	3.377379641
755	3.377237836
756	3.377136147
757	3.376907279
758	3.376720835
759	3.376563543
760	3.376395824
761	3.376222549
762	3.376101239
763	3.375992709
764	3.375828629
765	3.37563336
766	3.37547596
767	3.375353278
768	3.375182537
769	3.375037899
770	3.374867062
771	3.374778553
772	3.3746379
773	3.37452709
774	3.374331877
775	3.374169508
776	3.374018013
777	3.373869068
778	3.373755574
779	3.373668272
780	3.373568899
781	3.373423317
782	3.3732512
783	3.373127487
784	3.372965766
785	3.372825555
786	3.37269817
787	3.372660056
788	3.372512612
789	3.372352596
790	3.37221835
791	3.372112999
792	3.371914063
793	3.371839891
794	3.371600897
795	3.371447302
796	3.371360077
797	3.371228063
798	3.371095422
799	3.37094018
800	3.370757212
801	3.370559834
802	3.370385761
803	3.370289585
804	3.370169051
805	3.370086972
806	3.369960686
807	3.369844237
808	3.369730192
809	3.369578954
810	3.369439764
811	3.369253679
812	3.369082491
813	3.368835815
814	3.368671795
815	3.368521193
816	3.368493267
817	3.36837691
818	3.368042917
819	3.367837119
820	3.367705968
821	3.367570686
822	3.367446804
823	3.367349089
824	3.367215934
825	3.36710227
826	3.366960543
827	3.366742005
828	3.366583233
829	3.366387852
830	3.366298603
831	3.366212861
832	3.366085198
833	3.3658893
834	3.365764979
835	3.365723574
836	3.365562658
837	3.365407647
838	3.365339807
839	3.365181157
840	3.365145135
841	3.365067059
842	3.36504426
843	3.364797321
844	3.364629983
845	3.364472825
846	3.36435357
847	3.364260466
848	3.364110452
849	3.364024865
850	3.363931686
851	3.363640371
852	3.363509278
853	3.36341178
854	3.363266524
855	3.363052913
856	3.362897043
857	3.362701058
858	3.36252704
859	3.362467081
860	3.362397402
861	3.362236032
862	3.362033431
863	3.361988128
864	3.361888031
865	3.361753901
866	3.361653978
867	3.361539954
868	3.361425503
869	3.361304336
870	3.361092574
871	3.36098535
872	3.360855822
873	3.36081955
874	3.360634323
875	3.360454819
876	3.360305928
877	3.360081483
878	3.359987486
879	3.359768588
880	3.359687769
881	3.35951085
882	3.359385541
883	3.359318779
884	3.359180908
885	3.359080323
886	3.358955637
887	3.358739778
888	3.358571945
889	3.358422821
890	3.358334412
891	3.358245215
892	3.358163243
893	3.357965769
894	3.357870997
895	3.357783648
896	3.3576262
897	3.35753642
898	3.357370206
899	3.357165947
900	3.357049437
901	3.356994765
902	3.356835302
903	3.356702014
904	3.356603027
905	3.356420208
906	3.35629323
907	3.356196194
908	3.355985657
909	3.35591193
910	3.355735474
911	3.355519651
912	3.355384908
913	3.355279654
914	3.355204279
915	3.355072606
916	3.354783277
917	3.354674485
918	3.35454987
919	3.354451729
920	3.35433775
921	3.354195486
922	3.354073946
923	3.353981555
924	3.353820295
925	3.353739299
926	3.353654018
927	3.35352001
928	3.35342096
929	3.353309966
930	3.353186863
931	3.353125614
932	3.352995187
933	3.352940842
934	3.352779612
935	3.352585476
936	3.352505817
937	3.352360111
938	3.352231457
939	3.3520805
940	3.351956564
941	3.351789441
942	3.351625018
943	3.351473224
944	3.351337143
945	3.351289687
946	3.351247024
947	3.351208335
948	3.35111933
949	3.351052272
950	3.350915209
951	3.350766535
952	3.350680157
953	3.350511728
954	3.350443269
955	3.350425952
956	3.350353882
957	3.350134503
958	3.350048145
959	3.349908341
960	3.349738167
961	3.349567275
962	3.349473456
963	3.349322794
964	3.349161483
965	3.349035098
966	3.348968945
967	3.348809685
968	3.348660449
969	3.34858337
970	3.348480367
971	3.348429447
972	3.348295469
973	3.348255471
974	3.34814625
975	3.348014134
976	3.347825592
977	3.34770565
978	3.34760386
979	3.347493481
980	3.347312498
981	3.347240758
982	3.347067889
983	3.347004995
984	3.346902643
985	3.346759101
986	3.346597227
987	3.346513782
988	3.346387672
989	3.346303165
990	3.346238271
991	3.346149772
992	3.346069842
993	3.345993491
994	3.345823056
995	3.34574639
996	3.345590816
997	3.345477068
998	3.345408858
999	3.345231023
