iter	Passed	Remaining
403	12498	18438
404	12524	18399
405	12567	18386
406	12592	18347
407	12621	18313
408	12646	18273
409	12669	18231
410	12704	18206
411	12738	18180
412	12784	18170
413	12809	18130
414	12835	18093
415	12861	18055
416	12902	18039
417	12938	18015
418	13006	18035
419	13038	18005
420	13069	17974
421	13111	17958
422	13140	17924
423	13196	17926
424	13222	17889
425	13258	17864
426	13303	17852
427	13343	17833
428	13387	17818
429	13424	17795
430	13459	17769
431	13489	17736
432	13521	17705
433	13567	17694
434	13596	17659
435	13620	17618
436	13643	17577
437	13684	17558
438	13736	17553
439	13767	17522
440	13789	17479
441	13816	17442
442	13841	17402
443	13873	17373
444	13907	17345
445	13956	17335
446	13989	17306
447	14019	17273
448	14048	17240
449	14082	17212
450	14114	17181
451	14157	17164
452	14180	17123
453	14208	17088
454	14234	17049
455	14263	17016
456	14303	16995
457	14340	16970
458	14391	16961
459	14416	16923
460	14441	16884
461	14464	16843
462	14485	16801
463	14516	16769
464	14565	16757
465	14612	16744
466	14636	16705
467	14659	16663
468	14682	16622
469	14708	16585
470	14745	16561
471	14786	16541
472	14837	16531
473	14869	16500
474	14897	16465
475	14927	16433
476	14966	16410
477	15004	16386
478	15042	16360
479	15099	16357
480	15135	16331
481	15167	16300
482	15208	16279
483	15249	16257
484	15278	16223
485	15307	16189
486	15336	16154
487	15364	16120
488	15401	16094
489	15435	16065
490	15467	16034
491	15496	16000
492	15526	15967
493	15560	15938
494	15583	15897
495	15605	15857
496	15641	15829
497	15663	15789
498	15687	15750
499	15711	15711
500	15749	15686
501	15778	15652
502	15809	15621
503	15858	15606
504	15899	15584
505	15928	15550
506	15955	15515
507	15983	15479
508	16017	15451
509	16043	15413
510	16098	15405
511	16128	15372
512	16156	15337
513	16184	15303
514	16216	15271
515	16243	15236
516	16291	15220
517	16316	15182
518	16346	15149
519	16377	15117
520	16404	15082
521	16448	15061
522	16487	15037
523	16510	14997
524	16535	14961
525	16560	14923
526	16590	14890
527	16625	14862
528	16677	14849
529	16707	14816
530	16730	14776
531	16757	14741
532	16784	14705
533	16821	14679
534	16870	14663
535	16903	14632
536	16932	14599
537	16966	14570
538	16996	14536
539	17027	14505
540	17074	14486
541	17095	14445
542	17115	14404
543	17145	14372
544	17176	14339
545	17206	14307
546	17247	14283
547	17281	14253
548	17305	14216
549	17351	14196
550	17372	14156
551	17395	14118
552	17421	14081
553	17446	14045
554	17478	14014
555	17511	13983
556	17555	13962
557	17586	13930
558	17616	13897
559	17660	13876
560	17689	13842
561	17713	13805
562	17744	13773
563	17770	13737
564	17798	13702
565	17828	13670
566	17874	13650
567	17901	13615
568	17949	13595
569	17976	13560
570	17996	13520
571	18021	13484
572	18060	13458
573	18087	13423
574	18112	13387
575	18144	13356
576	18173	13322
577	18199	13287
578	18249	13269
579	18274	13233
580	18295	13194
581	18315	13154
582	18340	13118
583	18373	13088
584	18409	13059
585	18440	13027
586	18478	13001
587	18532	12985
588	18554	12947
589	18576	12909
590	18597	12870
591	18626	12837
592	18654	12803
593	18683	12770
594	18720	12742
595	18762	12718
596	18791	12685
597	18838	12663
598	18867	12630
599	18891	12594
600	18918	12559
601	18966	12539
602	18998	12508
603	19044	12486
604	19066	12448
605	19092	12413
606	19120	12379
607	19168	12358
608	19212	12335
609	19242	12302
610	19285	12278
611	19320	12248
612	19350	12216
613	19384	12186
614	19410	12151
615	19433	12114
616	19478	12090
617	19509	12059
618	19538	12026
619	19572	11995
620	19602	11963
621	19630	11929
622	19658	11896
623	19682	11860
624	19704	11822
625	19749	11798
626	19774	11763
627	19794	11725
628	19823	11692
629	19862	11665
630	19918	11648
631	19941	11611
632	19970	11578
633	20000	11546
634	20042	11520
635	20080	11492
636	20132	11472
637	20157	11437
638	20187	11404
639	20218	11372
640	20278	11357
641	20301	11320
642	20325	11284
643	20352	11250
644	20380	11217
645	20410	11184
646	20442	11153
647	20491	11131
648	20519	11097
649	20544	11062
650	20565	11025
651	20589	10989
652	20621	10958
653	20677	10939
654	20700	10903
655	20725	10868
656	20749	10832
657	20777	10799
658	20808	10767
659	20842	10736
660	20880	10708
661	20909	10676
662	20945	10646
663	20979	10616
664	21009	10583
665	21039	10551
666	21082	10525
667	21106	10489
668	21134	10456
669	21163	10424
670	21189	10389
671	21216	10355
672	21264	10332
673	21312	10308
674	21337	10273
675	21366	10240
676	21391	10206
677	21420	10173
678	21458	10144
679	21494	10115
680	21551	10095
681	21584	10064
682	21618	10033
683	21643	9999
684	21670	9965
685	21701	9933
686	21751	9910
687	21778	9876
688	21805	9842
689	21836	9810
690	21872	9780
691	21904	9749
692	21936	9717
693	21978	9691
694	22040	9672
695	22062	9636
696	22087	9601
697	22111	9566
698	22141	9534
699	22181	9506
700	22229	9481
701	22288	9461
702	22324	9431
703	22355	9399
704	22394	9370
705	22426	9339
706	22493	9322
707	22528	9291
708	22558	9258
709	22601	9231
710	22639	9202
711	22679	9173
712	22709	9141
713	22747	9111
714	22784	9082
715	22847	9062
716	22888	9034
717	22933	9007
718	22984	8982
719	23053	8965
720	23218	8984
721	23403	9011
722	23449	8984
723	23487	8953
724	23539	8928
725	23588	8902
726	23633	8874
727	23718	8861
728	23779	8839
729	23845	8819
730	23885	8789
731	23931	8761
732	23992	8739
733	24058	8718
734	24126	8698
735	24162	8667
736	24201	8636
737	24242	8606
738	24294	8580
739	24327	8547
740	24364	8516
741	24407	8486
742	24438	8453
743	24465	8418
744	24523	8394
745	24551	8359
746	24574	8323
747	24605	8289
748	24633	8254
749	24662	8220
750	24708	8192
751	24760	8165
752	24787	8130
753	24805	8093
754	24830	8057
755	24868	8026
756	24894	7991
757	24918	7955
758	24960	7925
759	25014	7899
760	25039	7863
761	25061	7827
762	25093	7794
763	25128	7762
764	25164	7730
765	25198	7697
766	25242	7668
767	25276	7635
768	25330	7608
769	25362	7575
770	25385	7539
771	25410	7504
772	25440	7470
773	25466	7436
774	25528	7411
775	25558	7377
776	25591	7344
777	25617	7309
778	25641	7274
779	25667	7239
780	25704	7207
781	25762	7181
782	25795	7148
783	25830	7116
784	25860	7082
785	25889	7048
786	25923	7016
787	25950	6981
788	25984	6949
789	26023	6917
790	26050	6883
791	26079	6849
792	26116	6817
793	26144	6783
794	26174	6749
795	26228	6721
796	26253	6687
797	26279	6652
798	26313	6619
799	26345	6586
800	26368	6550
801	26404	6518
802	26457	6490
803	26485	6456
804	26515	6423
805	26544	6389
806	26572	6354
807	26610	6323
808	26658	6293
809	26684	6259
810	26712	6225
811	26744	6192
812	26776	6158
813	26834	6131
814	26858	6096
815	26879	6061
816	26906	6026
817	26940	5994
818	26972	5960
819	27004	5927
820	27047	5897
821	27086	5865
822	27117	5832
823	27148	5798
824	27193	5768
825	27222	5734
826	27246	5699
827	27275	5665
828	27313	5634
829	27340	5599
830	27408	5573
831	27431	5539
832	27454	5504
833	27480	5469
834	27510	5436
835	27537	5402
836	27590	5372
837	27621	5339
838	27654	5306
839	27680	5272
840	27701	5237
841	27729	5203
842	27750	5168
843	27793	5137
844	27818	5102
845	27856	5070
846	27890	5038
847	27920	5004
848	27955	4972
849	27985	4938
850	28007	4903
851	28054	4873
852	28085	4840
853	28108	4805
854	28134	4771
855	28176	4739
856	28235	4711
857	28257	4676
858	28286	4643
859	28311	4608
860	28338	4575
861	28369	4541
862	28407	4509
863	28439	4476
864	28489	4446
865	28513	4412
866	28541	4378
867	28579	4346
868	28608	4312
869	28652	4281
870	28709	4252
871	28781	4224
872	28834	4194
873	28864	4161
874	28895	4127
875	28951	4098
876	28992	4066
877	29028	4033
878	29059	4000
879	29117	3970
880	29149	3937
881	29170	3902
882	29209	3870
883	29254	3838
884	29290	3806
885	29333	3774
886	29364	3740
887	29397	3707
888	29445	3676
889	29473	3642
890	29500	3608
891	29527	3575
892	29550	3540
893	29586	3508
894	29647	3478
895	29672	3444
896	29698	3410
897	29724	3376
898	29745	3341
899	29769	3307
900	29810	3275
901	29858	3244
902	29884	3210
903	29921	3177
904	29955	3144
905	29999	3112
906	30048	3081
907	30076	3047
908	30103	3013
909	30130	2979
910	30165	2946
911	30205	2914
912	30239	2881
913	30269	2848
914	30302	2815
915	30346	2782
916	30378	2749
917	30410	2716
918	30448	2683
919	30482	2650
920	30512	2617
921	30568	2586
922	30595	2552
923	30622	2518
924	30656	2485
925	30691	2452
926	30737	2420
927	30772	2387
928	30805	2354
929	30835	2320
930	30858	2287
931	30887	2253
932	30917	2220
933	30972	2188
934	31004	2155
935	31031	2121
936	31070	2089
937	31095	2055
938	31159	2024
939	31193	1991
940	31227	1957
941	31261	1924
942	31297	1891
943	31344	1859
944	31371	1825
945	31394	1792
946	31418	1758
947	31437	1724
948	31469	1691
949	31508	1658
950	31553	1625
951	31584	1592
952	31618	1559
953	31643	1525
954	31674	1492
955	31701	1459
956	31727	1425
957	31770	1392
958	31797	1359
959	31826	1326
960	31854	1292
961	31888	1259
962	31923	1226
963	31991	1194
964	32016	1161
965	32042	1127
966	32065	1094
967	32094	1060
968	32151	1028
969	32188	995
970	32218	962
971	32243	928
972	32276	895
973	32313	862
974	32364	829
975	32391	796
976	32421	763
977	32442	729
978	32472	696
979	32547	664
980	32620	631
981	32660	598
982	32791	567
983	32837	533
984	32882	500
985	32972	468
986	33007	434
987	33061	401
988	33117	368
989	33186	335
990	33302	302
991	33356	269
992	33426	235
993	33522	202
994	33580	168
995	33638	135
996	33688	101
997	33768	67
998	33804	33
999	33841	0
